data_abreviada,takt_time(s/und)
2022-01-17,203.3050847457538
2022-01-18,202.40625
2022-01-19,197.46951219511652
2022-01-20,182.96610169491157
2022-01-21,188.28488372092266
2022-01-22,0.0
2022-01-24,210.19480519479976
2022-01-25,178.9226519337013
2022-01-26,203.67924528301367
2022-01-27,220.30612244898867
2022-01-28,184.0056818181778
2022-01-29,0.0
2022-01-31,199.81481481481472
2022-02-01,190.5
2022-02-02,201.14906832298126
2022-02-03,195.09036144578826
2022-02-04,215.9000000000035
2022-02-05,0.0
2022-02-07,190.4117647058836
2022-02-08,180.92178770949775
2022-02-09,181.93820224719664
2022-02-10,193.92215568862846
2022-02-11,185.05714285714663
2022-02-12,0.0
2022-02-14,175.92391304347893
2022-02-15,187.19653179190425
2022-02-16,174.11290322581158
2022-02-17,175.05405405405645
2022-02-18,192.76785714285845
2022-02-19,0.0
2022-02-21,167.72020725388356
2022-02-22,192.76785714285845
2022-02-23,189.38596491228162
2022-02-24,169.554973821992
2022-02-25,187.19653179190425
2022-02-26,0.0
2022-02-28,178.8397790055262
2022-03-01,187.19653179190425
2022-03-02,186.12068965517008
2022-03-03,178.9226519337013
2022-03-04,192.76785714285845
2022-03-05,0.0
2022-03-07,208.8387096774156
2022-03-08,185.05714285714663
2022-03-09,190.5
2022-03-10,197.46951219511652
2022-03-11,190.5
2022-03-12,0.0
2022-03-14,206.1783439490424
2022-03-15,188.28488372092266
2022-03-16,215.9000000000035
2022-03-17,196.2727272727249
2022-03-18,188.28488372092266
2022-03-19,0.0
2022-03-21,190.4117647058836
2022-03-22,190.5
2022-03-23,181.93820224719664
2022-03-24,188.28488372092266
2022-03-25,197.46951219511652
2022-03-26,0.0
2022-03-28,186.03448275861444
2022-03-29,182.96610169491157
2022-03-30,201.14906832298126
2022-03-31,179.91666666666586
2022-04-01,190.5
2022-04-02,0.0
2022-04-04,198.58895705521726
2022-04-05,198.68098159509066
2022-04-06,220.30612244898867
2022-04-07,203.67924528301367
2022-04-08,220.30612244898867
2022-04-09,0.0
2022-04-11,206.1783439490424
2022-04-12,195.09036144578826
2022-04-13,201.14906832298126
2022-04-14,179.91666666666586
2022-04-15,193.92215568862846
2022-04-16,0.0
2022-04-18,198.58895705521726
2022-04-19,190.5
2022-04-20,213.05921052631152
2022-04-21,199.9074074074117
2022-04-22,188.28488372092266
2022-04-23,0.0
2022-04-25,192.67857142857522
2022-04-26,197.46951219511652
2022-04-27,178.9226519337013
2022-04-28,208.93548387096934
2022-04-29,184.0056818181778
2022-04-30,0.0
2022-05-02,179.83333333333414
2022-05-03,188.28488372092266
2022-05-04,215.9000000000035
2022-05-05,211.66666666666893
2022-05-06,189.38596491228162
2022-05-07,0.0
2022-05-09,175.92391304347893
2022-05-10,189.38596491228162
2022-05-11,215.9000000000035
2022-05-12,184.0056818181778
2022-05-13,199.9074074074117
2022-05-14,0.0
2022-05-16,178.8397790055262
2022-05-17,211.66666666666893
2022-05-18,186.12068965517008
2022-05-19,177.93956043955563
2022-05-20,192.76785714285845
2022-05-21,0.0
2022-05-23,184.9714285714251
2022-05-24,177.93956043955563
2022-05-25,171.34920634920522
2022-05-26,186.12068965517008
2022-05-27,192.76785714285845
2022-05-28,0.0
2022-05-30,208.8387096774156
2022-05-31,169.554973821992
2022-06-01,249.11538461537916
2022-06-02,204.9683544303812
2022-06-03,185.05714285714663
2022-06-04,0.0
2022-06-06,166.0
2022-06-07,167.79792746113642
2022-06-08,238.125
2022-06-09,206.27388535032375
2022-06-10,210.29220779220947
2022-06-11,0.0
2022-06-13,191.5384615384614
2022-06-14,182.96610169491157
2022-06-15,201.14906832298126
2022-06-16,195.09036144578826
2022-06-17,178.9226519337013
2022-06-18,0.0
2022-06-20,203.58490566037875
2022-06-21,196.2727272727249
2022-06-22,221.81506849314795
2022-06-23,203.67924528301367
2022-06-24,188.28488372092266
2022-06-25,0.0
2022-06-27,183.9204545454518
2022-06-28,196.2727272727249
2022-06-29,179.91666666666586
2022-06-30,179.91666666666586
2022-07-01,193.92215568862846
2022-07-02,0.0
2022-07-04,210.19480519479976
2022-07-05,174.11290322581158
2022-07-06,213.05921052631152
2022-07-07,185.05714285714663
2022-07-08,196.2727272727249
2022-07-09,0.0
2022-07-11,208.8387096774156
2022-07-12,203.67924528301367
2022-07-13,218.8175675675726
2022-07-14,195.09036144578826
2022-07-15,204.9683544303812
2022-07-16,0.0
2022-07-18,197.3780487804903
2022-07-19,193.92215568862846
2022-07-20,198.68098159509066
2022-07-21,196.2727272727249
2022-07-22,214.47019867550335
2022-07-23,0.0
2022-07-25,206.1783439490424
2022-07-26,187.19653179190425
2022-07-27,193.92215568862846
2022-07-28,188.28488372092266
2022-07-29,210.29220779220947
2022-07-30,0.0
2022-08-01,231.2142857142795
2022-08-02,210.29220779220947
2022-08-03,186.12068965517008
2022-08-04,186.12068965517008
2022-08-05,207.5961538461486
2022-08-06,0.0
2022-08-08,188.19767441860543
2022-08-09,178.9226519337013
2022-08-10,197.46951219511652
2022-08-11,191.6272189349165
2022-08-12,180.92178770949775
2022-08-13,0.0
2022-08-15,201.0559006211129
2022-08-16,176.9672131147562
2022-08-17,188.28488372092266
2022-08-18,192.76785714285845
2022-08-19,178.9226519337013
2022-08-20,0.0
2022-08-22,191.5384615384614
2022-08-23,201.14906832298126
2022-08-24,190.5
2022-08-25,208.93548387096934
2022-08-26,206.27388535032375
2022-08-27,0.0
2022-08-29,198.58895705521726
2022-08-30,190.5
2022-08-31,191.6272189349165
2022-09-01,185.05714285714663
2022-09-02,189.38596491228162
