data_abreviada,Disponibilidade
2022-01-17,1.0
2022-01-18,0.998610467809171
2022-01-19,0.9949050486336267
2022-01-20,1.0
2022-01-21,0.9851783232978231
2022-01-22,0.0
2022-01-24,0.995366079703429
2022-01-25,0.9930523390458545
2022-01-26,0.9861046780917091
2022-01-27,1.0
2022-01-28,0.9972209356183418
2022-01-29,0.0
2022-01-31,0.9782205746061168
2022-02-01,0.9953682260305697
2022-02-02,1.0
2022-02-03,1.0
2022-02-04,0.999536822603057
2022-02-05,0.0
2022-02-07,0.9972196478220574
2022-02-08,0.998610467809171
2022-02-09,0.9981472904122278
2022-02-10,1.0
2022-02-11,0.9958314034275129
2022-02-12,0.0
2022-02-14,0.9731232622798887
2022-02-15,0.999536822603057
2022-02-16,0.9944418712366837
2022-02-17,1.0
2022-02-18,0.9972209356183418
2022-02-19,0.0
2022-02-21,0.9870250231696014
2022-02-22,0.983788791106994
2022-02-23,0.9925891616489115
2022-02-24,0.9944418712366837
2022-02-25,1.0
2022-02-26,0.0
2022-02-28,1.0
2022-03-01,1.0
2022-03-02,1.0
2022-03-03,0.9981472904122278
2022-03-04,0.9935155164427976
2022-03-05,0.0
2022-03-07,0.9916589434661723
2022-03-08,0.9874942102825383
2022-03-09,1.0
2022-03-10,0.9981472904122278
2022-03-11,0.9911996294580825
2022-03-12,0.0
2022-03-14,0.9921223354958295
2022-03-15,0.999536822603057
2022-03-16,1.0
2022-03-17,0.998610467809171
2022-03-18,0.9893469198703103
2022-03-19,0.0
2022-03-21,1.0
2022-03-22,0.9911996294580825
2022-03-23,0.9976841130152849
2022-03-24,1.0
2022-03-25,0.9939786938397406
2022-03-26,0.0
2022-03-28,0.9726598702502318
2022-03-29,0.9888837424733673
2022-03-30,0.9972209356183418
2022-03-31,0.9976841130152849
2022-04-01,0.9958314034275129
2022-04-02,0.0
2022-04-04,0.9958294717330862
2022-04-05,0.9921259842519685
2022-04-06,0.9902732746641963
2022-04-07,0.9944418712366837
2022-04-08,0.9935155164427976
2022-04-09,0.0
2022-04-11,0.9962928637627434
2022-04-12,0.9990736452061141
2022-04-13,1.0
2022-04-14,0.9907364520611394
2022-04-15,0.9893469198703103
2022-04-16,0.0
2022-04-18,0.9990732159406857
2022-04-19,0.9944418712366837
2022-04-20,1.0
2022-04-21,0.9981472904122278
2022-04-22,0.9893469198703103
2022-04-23,0.0
2022-04-25,0.9902687673772012
2022-04-26,0.9647985178323297
2022-04-27,0.9949050486336267
2022-04-28,0.9828624363131079
2022-04-29,0.9935155164427976
2022-04-30,0.0
2022-05-02,1.0
2022-05-03,0.9949050486336267
2022-05-04,0.9981472904122278
2022-05-05,0.9944418712366837
2022-05-06,0.9939786938397406
2022-05-07,0.0
2022-05-09,1.0
2022-05-10,0.9949050486336267
2022-05-11,0.9990736452061141
2022-05-12,0.9916628068550255
2022-05-13,0.9925891616489115
2022-05-14,0.0
2022-05-16,0.9990732159406857
2022-05-17,0.9958314034275129
2022-05-18,0.9916628068550255
2022-05-19,0.9958314034275129
2022-05-20,0.9990736452061141
2022-05-21,0.0
2022-05-23,0.9976830398517146
2022-05-24,1.0
2022-05-25,0.9972209356183418
2022-05-26,0.998610467809171
2022-05-27,0.9958314034275129
2022-05-28,0.0
2022-05-30,0.9976830398517146
2022-05-31,1.0
2022-06-01,0.9958314034275129
2022-06-02,0.9874942102825383
2022-06-03,0.9898100972672533
2022-06-04,0.0
2022-06-06,0.9976830398517146
2022-06-07,0.999536822603057
2022-06-08,1.0
2022-06-09,0.9962945808244558
2022-06-10,0.9972209356183418
2022-06-11,0.0
2022-06-13,0.9935125115848007
2022-06-14,0.9967577582213988
2022-06-15,1.0
2022-06-16,0.9944418712366837
2022-06-17,0.9976841130152849
2022-06-18,0.0
2022-06-20,1.0
2022-06-21,0.9870310328855951
2022-06-22,0.9958314034275129
2022-06-23,0.9962945808244558
