DateTime;Value;Quality
2024-02-29 17:29:45.655 -03:00;0;NULL
2024-02-29 17:30:00.655 -03:00;0;NULL
2024-02-29 17:30:15.655 -03:00;0;NULL
2024-02-29 17:30:30.655 -03:00;0;NULL
2024-02-29 17:30:45.655 -03:00;0;NULL
2024-02-29 17:31:00.655 -03:00;0;NULL
2024-02-29 17:31:15.655 -03:00;0;NULL
2024-02-29 17:31:30.655 -03:00;0;NULL
2024-02-29 17:31:45.655 -03:00;0;NULL
2024-02-29 17:32:00.655 -03:00;0;NULL
2024-02-29 17:32:15.655 -03:00;0;NULL
2024-02-29 17:32:30.655 -03:00;0;NULL
2024-02-29 17:32:45.655 -03:00;0;NULL
2024-02-29 17:33:00.655 -03:00;0;NULL
2024-02-29 17:33:15.655 -03:00;0;NULL
2024-02-29 17:33:30.655 -03:00;0;NULL
2024-02-29 17:33:45.655 -03:00;0;NULL
2024-02-29 17:34:00.655 -03:00;0;NULL
2024-02-29 17:34:15.655 -03:00;0;NULL
2024-02-29 17:34:30.655 -03:00;0;NULL
2024-02-29 17:34:45.655 -03:00;0;NULL
2024-02-29 17:35:00.655 -03:00;0;NULL
2024-02-29 17:35:15.655 -03:00;0;NULL
2024-02-29 17:35:30.655 -03:00;0;NULL
2024-02-29 17:35:45.655 -03:00;0;NULL
2024-02-29 17:36:00.655 -03:00;0;NULL
2024-02-29 17:36:15.655 -03:00;0;NULL
2024-02-29 17:36:30.655 -03:00;0;NULL
2024-02-29 17:36:45.655 -03:00;0;NULL
2024-02-29 17:37:00.655 -03:00;0;NULL
2024-02-29 17:37:15.655 -03:00;0;NULL
2024-02-29 17:37:30.655 -03:00;0;NULL
2024-02-29 17:37:45.655 -03:00;0;NULL
2024-02-29 17:38:00.655 -03:00;0;NULL
2024-02-29 17:38:15.655 -03:00;0;NULL
2024-02-29 17:38:30.655 -03:00;0;NULL
2024-02-29 17:38:45.655 -03:00;0;NULL
2024-02-29 17:39:00.655 -03:00;0;NULL
2024-02-29 17:39:15.655 -03:00;0;NULL
2024-02-29 17:39:30.655 -03:00;0;NULL
2024-02-29 17:39:45.655 -03:00;0;NULL
2024-02-29 17:40:00.655 -03:00;0;NULL
2024-02-29 17:40:15.655 -03:00;0;NULL
2024-02-29 17:40:30.655 -03:00;0;NULL
2024-02-29 17:40:45.655 -03:00;0;NULL
2024-02-29 17:41:00.655 -03:00;0;NULL
2024-02-29 17:41:15.655 -03:00;0;NULL
2024-02-29 17:41:30.655 -03:00;0;NULL
2024-02-29 17:41:45.655 -03:00;0;NULL
2024-02-29 17:42:00.655 -03:00;0;NULL
2024-02-29 17:42:15.655 -03:00;0;NULL
2024-02-29 17:42:30.655 -03:00;0;NULL
2024-02-29 17:42:45.655 -03:00;0;NULL
2024-02-29 17:43:00.655 -03:00;0;NULL
2024-02-29 17:43:15.655 -03:00;0;NULL
2024-02-29 17:43:30.655 -03:00;0;NULL
2024-02-29 17:43:45.655 -03:00;0;NULL
2024-02-29 17:44:00.655 -03:00;0;NULL
2024-02-29 17:44:15.655 -03:00;0;NULL
2024-02-29 17:44:30.655 -03:00;0;NULL
2024-02-29 17:44:45.655 -03:00;0;NULL
2024-02-29 17:45:00.655 -03:00;0;NULL
2024-02-29 17:45:15.655 -03:00;0;NULL
2024-02-29 17:45:30.655 -03:00;0;NULL
2024-02-29 17:45:45.655 -03:00;0;NULL
2024-02-29 17:46:00.655 -03:00;0;NULL
2024-02-29 17:46:15.655 -03:00;0;NULL
2024-02-29 17:46:30.655 -03:00;0;NULL
2024-02-29 17:46:45.655 -03:00;0;NULL
2024-02-29 17:47:00.655 -03:00;0;NULL
2024-02-29 17:47:15.655 -03:00;0;NULL
2024-02-29 17:47:30.655 -03:00;0;NULL
2024-02-29 17:47:45.655 -03:00;0;NULL
2024-02-29 17:48:00.655 -03:00;0;NULL
2024-02-29 17:48:15.655 -03:00;0;NULL
2024-02-29 17:48:30.655 -03:00;0;NULL
2024-02-29 17:48:45.655 -03:00;0;NULL
2024-02-29 17:49:00.655 -03:00;0;NULL
2024-02-29 17:49:15.655 -03:00;0;NULL
2024-02-29 17:49:30.655 -03:00;0;NULL
2024-02-29 17:49:45.655 -03:00;0;NULL
2024-02-29 17:50:00.655 -03:00;0;NULL
2024-02-29 17:50:15.655 -03:00;0;NULL
2024-02-29 17:50:30.655 -03:00;0;NULL
2024-02-29 17:50:45.655 -03:00;0;NULL
2024-02-29 17:51:00.655 -03:00;0;NULL
2024-02-29 17:51:15.655 -03:00;0;NULL
2024-02-29 17:51:30.655 -03:00;0;NULL
2024-02-29 17:51:45.655 -03:00;0;NULL
2024-02-29 17:52:00.655 -03:00;0;NULL
2024-02-29 17:52:15.655 -03:00;0;NULL
2024-02-29 17:52:30.655 -03:00;0;NULL
2024-02-29 17:52:45.655 -03:00;0;NULL
2024-02-29 17:53:00.655 -03:00;0;NULL
2024-02-29 17:53:15.655 -03:00;0;NULL
2024-02-29 17:53:30.655 -03:00;0;NULL
2024-02-29 17:53:45.655 -03:00;0;NULL
2024-02-29 17:54:00.655 -03:00;0;NULL
2024-02-29 17:54:15.655 -03:00;0;NULL
2024-02-29 17:54:30.655 -03:00;0;NULL
2024-02-29 17:54:45.655 -03:00;0;NULL
2024-02-29 17:55:00.655 -03:00;0;NULL
2024-02-29 17:55:15.655 -03:00;0;NULL
2024-02-29 17:55:30.655 -03:00;0;NULL
2024-02-29 17:55:45.655 -03:00;0;NULL
2024-02-29 17:56:00.655 -03:00;0;NULL
2024-02-29 17:56:15.655 -03:00;0;NULL
2024-02-29 17:56:30.655 -03:00;0;NULL
2024-02-29 17:56:45.655 -03:00;0;NULL
2024-02-29 17:57:00.655 -03:00;0;NULL
2024-02-29 17:57:15.655 -03:00;0;NULL
2024-02-29 17:57:30.655 -03:00;0;NULL
2024-02-29 17:57:45.655 -03:00;0;NULL
2024-02-29 17:58:00.655 -03:00;0;NULL
2024-02-29 17:58:15.655 -03:00;0;NULL
2024-02-29 17:58:30.655 -03:00;0;NULL
2024-02-29 17:58:45.655 -03:00;0;NULL
2024-02-29 17:59:00.655 -03:00;0;NULL
2024-02-29 17:59:15.655 -03:00;0;NULL
2024-02-29 17:59:30.655 -03:00;0;NULL
2024-02-29 17:59:45.655 -03:00;0;NULL
2024-02-29 18:00:00.655 -03:00;0;NULL
2024-02-29 18:00:15.655 -03:00;0;NULL
2024-02-29 18:00:30.655 -03:00;0;NULL
2024-02-29 18:00:45.655 -03:00;0;NULL
2024-02-29 18:01:00.655 -03:00;0;NULL
2024-02-29 18:01:15.655 -03:00;0;NULL
2024-02-29 18:01:30.655 -03:00;0;NULL
2024-02-29 18:01:45.655 -03:00;0;NULL
2024-02-29 18:02:00.655 -03:00;0;NULL
2024-02-29 18:02:15.655 -03:00;0;NULL
2024-02-29 18:02:30.655 -03:00;0;NULL
2024-02-29 18:02:45.655 -03:00;0;NULL
2024-02-29 18:03:00.655 -03:00;0;NULL
2024-02-29 18:03:15.655 -03:00;0;NULL
2024-02-29 18:03:30.655 -03:00;0;NULL
2024-02-29 18:03:45.655 -03:00;0;NULL
2024-02-29 18:04:00.655 -03:00;0;NULL
2024-02-29 18:04:15.655 -03:00;0;NULL
2024-02-29 18:04:30.655 -03:00;0;NULL
2024-02-29 18:04:45.655 -03:00;0;NULL
2024-02-29 18:05:00.655 -03:00;0;NULL
2024-02-29 18:05:15.655 -03:00;0;NULL
2024-02-29 18:05:30.655 -03:00;0;NULL
2024-02-29 18:05:45.655 -03:00;0;NULL
2024-02-29 18:06:00.655 -03:00;0;NULL
2024-02-29 18:06:15.655 -03:00;0;NULL
2024-02-29 18:06:30.655 -03:00;0;NULL
2024-02-29 18:06:45.655 -03:00;0;NULL
2024-02-29 18:07:00.655 -03:00;0;NULL
2024-02-29 18:07:15.655 -03:00;0;NULL
2024-02-29 18:07:30.655 -03:00;0;NULL
2024-02-29 18:07:45.655 -03:00;0;NULL
2024-02-29 18:08:00.655 -03:00;0;NULL
2024-02-29 18:08:15.655 -03:00;0;NULL
2024-02-29 18:08:30.655 -03:00;0;NULL
2024-02-29 18:08:45.655 -03:00;0;NULL
