data_abreviada,taxa_de_saida(und/h)
2022-01-17,13.556485355648867
2022-01-18,13.228346456693274
2022-01-19,13.35187760778842
2022-01-20,13.339509031959603
2022-01-21,13.228346456693274
2022-01-22,0.0
2022-01-24,13.234476367006753
2022-01-25,13.35187760778842
2022-01-26,13.450671607225638
2022-01-27,13.339509031959603
2022-01-28,13.228346456693274
2022-01-29,0.0
2022-01-31,13.34569045412381
2022-02-01,13.450671607225638
2022-02-02,13.450671607225638
2022-02-03,13.339509031959603
2022-02-04,13.339509031959603
2022-02-05,0.0
2022-02-07,13.234476367006753
2022-02-08,13.450671607225638
2022-02-09,13.339509031959603
2022-02-10,13.228346456693274
2022-02-11,13.228346456693274
2022-02-12,0.0
2022-02-14,13.568118628359432
2022-02-15,13.34569045412381
2022-02-16,13.117183881426257
2022-02-17,13.228346456693274
2022-02-18,13.35187760778842
2022-02-19,0.0
2022-02-21,13.358070500927505
2022-02-22,13.34569045412381
2022-02-23,13.339509031959603
2022-02-24,13.228346456693274
2022-02-25,13.561834182492003
2022-02-26,0.0
2022-02-28,13.234476367006753
2022-03-01,13.34569045412381
2022-03-02,13.228346456693274
2022-03-03,13.228346456693274
2022-03-04,13.339509031959603
2022-03-05,0.0
2022-03-07,13.34569045412381
2022-03-08,13.252900232018806
2022-03-09,13.117183881426257
2022-03-10,13.450671607225638
2022-03-11,13.339509031959603
2022-03-12,0.0
2022-03-14,13.351877607788422
2022-03-15,13.228346456693274
2022-03-16,13.339509031959603
2022-03-17,13.339509031959603
2022-03-18,13.561834182492003
2022-03-19,0.0
2022-03-21,13.456904541242368
2022-03-22,13.339509031959603
2022-03-23,13.12326227988887
2022-03-24,13.228346456693274
2022-03-25,13.339509031959603
2022-03-26,0.0
2022-03-28,13.34569045412381
2022-03-29,13.450671607225638
2022-03-30,13.228346456693274
2022-03-31,13.339509031959603
2022-04-01,13.339509031959603
2022-04-02,0.0
2022-04-04,13.234476367006753
2022-04-05,13.228346456693274
2022-04-06,13.37047353760474
2022-04-07,13.339509031959603
2022-04-08,13.006021306160084
2022-04-09,0.0
2022-04-11,13.463143254520139
2022-04-12,13.34569045412381
2022-04-13,13.450671607225638
2022-04-14,13.228346456693274
2022-04-15,13.234476367006753
2022-04-16,0.0
2022-04-18,13.358070500927505
2022-04-19,13.450671607225638
2022-04-20,13.339509031959603
2022-04-21,13.339509031959603
2022-04-22,13.228346456693274
2022-04-23,0.0
2022-04-25,13.456904541242368
2022-04-26,13.228346456693274
2022-04-27,13.228346456693274
2022-04-28,13.339509031959603
2022-04-29,13.450671607225638
2022-04-30,0.0
2022-05-02,13.568118628359432
2022-05-03,13.117183881426257
2022-05-04,13.339509031959603
2022-05-05,13.339509031959603
2022-05-06,13.228346456693274
2022-05-07,0.0
2022-05-09,13.34569045412381
2022-05-10,13.561834182492003
2022-05-11,13.228346456693274
2022-05-12,13.228346456693274
2022-05-13,13.339509031959603
2022-05-14,0.0
2022-05-16,13.34569045412381
2022-05-17,13.34569045412381
2022-05-18,13.339509031959603
2022-05-19,13.228346456693274
2022-05-20,13.561834182492003
2022-05-21,0.0
2022-05-23,13.34569045412381
2022-05-24,13.450671607225638
2022-05-25,13.234476367006753
2022-05-26,13.561834182492003
